code,code,decimal_point,name,pre_close,sec,sse,volunit
399439,399439,2,国证油气,1798.5153808594,index_cn,sz,100
399440,399440,2,国证钢铁,1410.0914306641,index_cn,sz,100
399441,399441,2,生物医药,2427.4743652344,index_cn,sz,100
399481,399481,2,企债指数,127.2892990112,index_cn,sz,100
399550,399550,2,央视50,5800.7573242188,index_cn,sz,100
399551,399551,2,央视创新,5570.587890625,index_cn,sz,100
399552,399552,2,央视成长,6275.6499023438,index_cn,sz,100
399553,399553,2,央视回报,4722.0283203125,index_cn,sz,100
399554,399554,2,央视治理,5810.5698242188,index_cn,sz,100
399555,399555,2,央视责任,3845.2238769531,index_cn,sz,100
399556,399556,2,央视生态,1409.9350585938,index_cn,sz,100
399557,399557,2,央视文化,1376.8836669922,index_cn,sz,100
399602,399602,2,中小成长,933.1016845703,index_cn,sz,100
399604,399604,2,中小价值,1138.3743896484,index_cn,sz,100
399606,399606,2,创业板R,1457.4158935547,index_cn,sz,100
399608,399608,2,科技100,1967.0732421875,index_cn,sz,100
399610,399610,2,TMT50,3993.8923339844,index_cn,sz,100
399611,399611,2,中创100R,1607.2973632812,index_cn,sz,100
399612,399612,2,中创100,1474.0389404297,index_cn,sz,100
399613,399613,2,深证能源,2742.1049804688,index_cn,sz,100
399614,399614,2,深证材料,2270.3806152344,index_cn,sz,100
399615,399615,2,深证工业,2127.3723144531,index_cn,sz,100
399616,399616,2,深证可选,4606.5908203125,index_cn,sz,100
399617,399617,2,深证消费,7096.2924804688,index_cn,sz,100
399618,399618,2,深证医药,8745.888671875,index_cn,sz,100
399619,399619,2,深证金融,4180.9033203125,index_cn,sz,100
399620,399620,2,深证信息,2866.9089355469,index_cn,sz,100
399621,399621,2,深证电信,2752.5708007812,index_cn,sz,100
399622,399622,2,深证公用,1623.0144042969,index_cn,sz,100
399623,399623,2,中小基础,6000.1166992188,index_cn,sz,100
399624,399624,2,中创400,1494.9162597656,index_cn,sz,100
399625,399625,2,中创500,1362.1192626953,index_cn,sz,100
399626,399626,2,中创成长,1131.8455810547,index_cn,sz,100
399627,399627,2,中创价值,1413.3669433594,index_cn,sz,100
399628,399628,2,700成长,1550.2908935547,index_cn,sz,100
399629,399629,2,700价值,1733.9458007812,index_cn,sz,100
399630,399630,2,1000成长,1133.3502197266,index_cn,sz,100
399631,399631,2,1000价值,1490.8204345703,index_cn,sz,100
399632,399632,2,深100EW,3418.4829101562,index_cn,sz,100
399633,399633,2,深300EW,4120.6713867188,index_cn,sz,100
399634,399634,2,中小板EW,2909.2602539062,index_cn,sz,100
399635,399635,2,创业板EW,1427.8162841797,index_cn,sz,100
399636,399636,2,深证装备,2703.8430175781,index_cn,sz,100
399637,399637,2,深证地产,4261.546875,index_cn,sz,100
399638,399638,2,深证环保,2962.1740722656,index_cn,sz,100
399639,399639,2,深证大宗,1821.0975341797,index_cn,sz,100
